Team,Team_MOV,Team_SOS,Team_SRS,Team_Pace,Team_ORtg,Team_DRtg,Team_eFG%,Team_TS%,Team_TOV%,Team_ORB%,Team_FTr,Opponent_eFG%,Opponent_TS%,Opponent_TOV%,Opponent_ORB%,Opponent_FTr
WAS,-3.38,0.15,-3.23,97.0,111.1,114.5,0.532,0.568,12.1,20.9,0.252,0.529,0.568,10.7,23.1,0.251
UTA,6.04,-0.37,5.67,97.1,116.7,110.5,0.555,0.589,12.7,25.4,0.271,0.521,0.55,10.9,21.7,0.216
TOR,2.29,0.08,2.38,96.0,112.9,110.5,0.51,0.543,11.0,28.4,0.234,0.535,0.571,14.4,24.4,0.252
SAS,0.12,-0.1,0.02,100.0,112.4,112.3,0.527,0.556,11.1,23.7,0.22,0.532,0.563,12.1,24.9,0.229
SAC,-5.46,0.2,-5.26,99.8,109.9,115.3,0.525,0.561,12.5,21.3,0.264,0.551,0.581,11.9,24.0,0.226
POR,-8.88,0.33,-8.55,98.3,107.8,116.9,0.515,0.55,13.0,22.9,0.248,0.559,0.595,12.7,23.1,0.286
PHO,7.5,-0.56,6.94,99.8,114.8,107.3,0.549,0.581,11.6,22.3,0.221,0.51,0.546,13.0,22.9,0.257
PHI,2.61,-0.04,2.57,96.2,113.5,110.8,0.534,0.578,11.6,20.1,0.282,0.524,0.559,12.1,23.2,0.25
ORL,-8.0,0.33,-7.67,99.2,104.5,112.5,0.503,0.538,13.0,19.8,0.223,0.532,0.567,11.7,22.8,0.254
OKC,-8.1,0.2,-7.9,98.5,104.6,112.8,0.497,0.53,12.5,21.8,0.223,0.533,0.563,11.8,23.9,0.22
NYK,-0.12,0.11,-0.01,95.9,110.4,110.5,0.513,0.55,12.0,25.1,0.28,0.521,0.557,11.7,21.2,0.259
NOP,-0.99,0.15,-0.84,97.2,112.0,113.0,0.517,0.557,12.5,26.9,0.264,0.547,0.581,13.0,21.8,0.25
MIN,2.63,-0.1,2.53,100.9,114.3,111.7,0.539,0.573,12.4,24.4,0.254,0.535,0.575,14.2,25.1,0.291
MIL,3.35,-0.14,3.22,99.9,115.1,111.8,0.546,0.58,11.9,23.0,0.257,0.536,0.564,11.6,21.4,0.22
MIA,4.45,-0.22,4.23,95.9,113.7,109.1,0.547,0.584,13.4,23.5,0.252,0.524,0.562,13.8,22.0,0.268
MEM,5.68,-0.32,5.37,100.3,114.6,109.0,0.522,0.553,11.2,30.0,0.245,0.523,0.558,13.3,22.2,0.253
LAL,-3.05,-0.03,-3.08,100.1,110.3,113.3,0.537,0.567,12.8,21.1,0.259,0.54,0.571,12.2,24.2,0.257
LAC,0.02,0.06,0.09,98.0,110.1,110.1,0.531,0.564,12.5,20.6,0.224,0.514,0.546,12.0,25.6,0.216
IND,-3.48,0.22,-3.26,98.0,112.6,116.1,0.531,0.564,12.7,25.5,0.239,0.552,0.587,11.9,23.8,0.256
HOU,-8.48,0.22,-8.26,100.9,108.4,116.7,0.534,0.565,14.5,21.7,0.284,0.554,0.589,12.3,25.6,0.263
GSW,5.54,-0.02,5.52,98.4,112.5,106.9,0.552,0.582,13.5,22.8,0.235,0.509,0.546,13.0,21.3,0.265
DET,-7.72,0.37,-7.36,98.4,106.0,113.8,0.494,0.533,12.6,23.4,0.249,0.541,0.58,13.1,24.4,0.292
DEN,2.3,-0.15,2.16,97.8,114.5,112.1,0.556,0.59,13.2,21.9,0.244,0.537,0.569,11.7,21.7,0.249
DAL,3.3,-0.18,3.12,95.4,112.8,109.4,0.538,0.572,11.7,21.3,0.249,0.521,0.554,12.2,22.0,0.241
CLE,2.12,-0.08,2.04,96.1,111.9,109.7,0.538,0.571,13.2,24.0,0.261,0.52,0.552,12.3,23.5,0.223
CHO,0.44,0.09,0.53,100.0,114.1,113.7,0.544,0.572,11.6,23.3,0.234,0.544,0.575,13.1,25.2,0.246
CHI,-0.39,0.02,-0.38,98.3,113.2,113.6,0.541,0.579,11.8,20.4,0.248,0.541,0.577,11.9,21.7,0.251
BRK,0.78,0.04,0.82,99.0,113.6,112.8,0.54,0.576,12.5,23.9,0.246,0.521,0.559,11.7,24.9,0.255
BOS,7.28,-0.26,7.02,96.6,114.4,106.9,0.542,0.578,12.4,24.0,0.239,0.502,0.538,12.5,22.7,0.234
ATL,1.56,-0.01,1.55,97.7,116.5,114.9,0.543,0.581,10.8,23.0,0.253,0.543,0.575,11.5,23.1,0.224
